x,y,z,r,g,b
17900,17200,175,255,0,0
17900,21800,384,255,0,0
18000,6200,94,255,0,0
18000,15000,94,255,0,0
18000,17300,176,255,0,0
18000,18600,230,255,0,0
18000,26500,6,255,0,0
18100,7000,29,255,0,0
18100,27800,2,255,0,0
18200,5300,36,255,0,0
18200,9400,111,255,0,0
18200,16100,129,255,0,0
18200,22200,383,255,0,0
18200,23000,347,255,0,0
18300,4500,47,255,0,0
18300,4800,41,255,0,0
18300,7300,26,255,0,0
18300,11900,21,255,0,0
18300,22800,374,255,0,0
18300,23300,344,255,0,0
18400,8400,121,255,0,0
18400,9000,117,255,0,0
18400,11900,22,255,0,0
18400,14100,33,255,0,0
18400,15200,95,255,0,0
18400,15300,105,255,0,0
18400,16400,137,255,0,0
18500,5500,31,255,0,0
18500,6100,85,255,0,0
18500,16600,140,255,0,0
18500,27600,0,255,0,0
18600,4600,51,255,0,0
18600,15700,122,255,0,0
18600,17100,179,255,0,0
18600,17200,183,255,0,0
18600,23800,341,255,0,0
18700,5100,31,255,0,0
18700,13300,27,255,0,0
18700,14900,58,255,0,0
18700,21400,441,255,0,0
18700,27200,0,255,0,0
18800,7300,0,255,0,0
18800,10600,12,255,0,0
18800,11800,18,255,0,0
18900,5100,36,255,0,0
18900,13600,29,255,0,0
18900,14600,24,255,0,0
18900,24100,338,255,0,0
18900,25300,278,255,0,0
19000,14200,2,255,0,0
19000,15000,67,255,0,0
19000,15300,92,255,0,0
19000,17500,183,255,0,0
19000,18400,225,255,0,0
19100,4800,56,255,0,0
19100,5200,32,255,0,0
19100,11900,54,255,0,0
19100,15300,87,255,0,0
19200,11400,23,255,0,0
19200,14600,15,255,0,0
19300,1900,42,255,0,0
19300,2300,41,255,0,0
19300,7300,0,255,0,0
19300,8800,135,255,0,0
19300,21600,546,255,0,0
19300,25400,279,255,0,0
19400,10200,105,255,0,0
19400,13800,23,255,0,0
19400,15000,60,255,0,0
19400,15400,86,255,0,0
19400,15800,118,255,0,0
19400,18900,219,255,0,0
19500,1500,36,255,0,0
19500,11700,20,255,0,0
19500,12400,56,255,0,0
19500,14200,7,255,0,0
19600,4900,25,255,0,0
19600,7100,0,255,0,0
19600,13100,63,255,0,0
19700,2800,45,255,0,0
19700,16400,137,255,0,0
19700,21200,577,255,0,0
19800,1100,37,255,0,0
19800,3900,44,255,0,0
19800,11700,21,255,0,0
19800,12000,54,255,0,0
19800,24000,548,255,0,0
19900,3300,43,255,0,0
