x,y,z,r,g,b
26000,20800,279,0,128,0
26100,2500,0,0,128,0
26100,7900,143,0,128,0
26100,8200,148,0,128,0
26200,2600,0,0,128,0
26200,7900,142,0,128,0
26200,25500,492,0,128,0
26300,22600,324,0,128,0
26300,26400,513,0,128,0
26300,26500,514,0,128,0
26300,26900,510,0,128,0
26300,28100,490,0,128,0
26400,1700,0,0,128,0
26400,2800,0,0,128,0
26400,16900,213,0,128,0
26400,27500,495,0,128,0
26400,27600,494,0,128,0
26400,27900,493,0,128,0
26500,16800,212,0,128,0
26500,20400,278,0,128,0
26500,22400,326,0,128,0
26600,22100,328,0,128,0
26600,25500,458,0,128,0
26700,1500,0,0,128,0
26700,12300,520,0,128,0
26700,12400,523,0,128,0
26800,3600,0,0,128,0
26800,19000,280,0,128,0
26900,28500,566,0,128,0
27000,1200,0,0,128,0
27000,19000,263,0,128,0
27000,21500,314,0,128,0
27200,3600,0,0,128,0
27300,1200,0,0,128,0
27300,22400,298,0,128,0
27300,29200,564,0,128,0
27300,29300,563,0,128,0
27400,13700,570,0,128,0
27500,8500,139,0,128,0
27500,22000,296,0,128,0
27600,25200,442,0,128,0
27700,3600,0,0,128,0
27700,20800,290,0,128,0
27700,24900,441,0,128,0
27700,25200,441,0,128,0
27800,18400,210,0,128,0
27800,18700,211,0,128,0
27800,19000,210,0,128,0
27900,29200,553,0,128,0
28000,13200,598,0,128,0
28100,1100,0,0,128,0
28100,1200,0,0,128,0
28100,8600,145,0,128,0
28300,2000,0,0,128,0
28300,2200,0,0,128,0
28300,18600,220,0,128,0
28300,29500,541,0,128,0
28400,1700,0,0,128,0
28400,8300,145,0,128,0
28400,8600,143,0,128,0
28400,29000,553,0,128,0
28500,19000,220,0,128,0
28500,27800,588,0,128,0
28800,4700,3,0,128,0
28800,8300,162,0,128,0
28800,27800,588,0,128,0
28900,19300,225,0,128,0
29000,1100,0,0,128,0
29000,2100,0,0,128,0
29000,2200,0,0,128,0
29000,12400,655,0,128,0
29000,17100,239,0,128,0
29000,18100,235,0,128,0
29000,28700,563,0,128,0
29100,4200,0,0,128,0
29100,13200,622,0,128,0
29100,17000,240,0,128,0
29100,25400,429,0,128,0
29200,25400,427,0,128,0
29300,19400,221,0,128,0
29400,28600,565,0,128,0
