X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
261832,158691,33,255,0,0,0,0,0.0588235,0.290196,33,0.524876
262162,158841,35,255,0,0,0,0,0.0588235,0.262745,35,0.524876
262552,160131,442,255,0,0,0,0.00392157,0.145098,0.286275,442,0.589049
263152,161211,468,0,255,0,1,0,0.0784314,0.27451,468,0.589049
264682,157341,1204,255,0,0,0,0.00392157,0.0588235,0.25098,1204,0.524876
266452,170181,176,255,0,0,0,0,0.141176,0.176471,176,0.589049
266542,166071,173,0,255,0,1,0,0.0627451,0.196078,173,0.392699
266602,164421,1031,0,255,0,1,0,0.0627451,0.235294,1031,0.328526
266932,170661,172,255,0,0,0,0.00392157,0.113725,0.2,172,0.589049
267022,170991,167,255,0,0,0,0.00392157,0.0627451,0.192157,167,0.589049
267202,160581,1562,255,0,0,0,0,0.0588235,0.282353,1562,0.524876
267292,165801,166,0,255,0,1,0,0.0117647,0.262745,166,0.460703
267292,167151,168,0,255,0,1,0,0.00784314,0.239216,168,0.392699
268192,154791,442,0,255,0,1,0.00392157,0.243137,0.262745,442,0.524876
268192,159531,1740,0,255,0,1,0,0.0588235,0.27451,1740,0.328526
268492,170841,174,255,0,0,0,0,0.0352941,0.258824,174,0.589049
268672,170961,178,0,255,0,1,0,0.0196078,0.235294,178,0.524876
269092,172161,167,0,255,0,1,0.00392157,0.00784314,0.270588,167,0.589049
269662,150381,463,0,255,0,1,0.00392157,0.0588235,0.25098,463,0.589049
269032,158991,1730,0,255,0,1,0.411765,0.0627451,0.25098,1730,0.460703
240142,171861,311,255,0,0,0,0,0.0784314,0.278431,311,0.392699
240652,172341,298,0,255,0,1,0.00392157,0.0509804,0.270588,298,0.392699
241582,179241,761,255,0,0,0,0.00392157,0.00784314,0.270588,761,0.589049
241822,174291,131,255,0,0,0,0,0.0745098,0.243137,131,0.589049
242272,175191,157,255,0,0,0,0.00392157,0.0509804,0.270588,157,0.524876
245152,173271,702,255,0,0,0,0.341176,0.0980392,0.258824,702,0.589049
245512,174351,747,0,255,0,1,0,0.0823529,0.278431,747,0.589049
245692,169971,297,255,0,0,0,0,0.0666667,0.270588,297,0.264353
245752,177981,1048,255,0,0,0,0,0.00392157,0.227451,1048,0.589049
245812,167121,760,0,255,0,1,0.00392157,0.0509804,0.239216,760,0.524876
247642,170391,282,255,0,0,0,0.00392157,0.0941176,0.266667,282,0.589049
247912,175671,1075,0,255,0,1,0,0.0627451,0.254902,1075,0.59288
249052,176601,1253,255,0,0,0,0.00392157,0.0941176,0.266667,1253,0.59288
250072,167331,164,255,0,0,0,0,0.113725,0.270588,164,0.59288
250672,168111,167,255,0,0,0,0,0.192157,0.247059,167,0.19635
251512,165831,34,255,0,0,0,0.352941,0.231373,0.262745,34,0.524876
251542,168831,170,255,0,0,0,0,0.0588235,0.27451,170,0.589049
251572,170571,173,255,0,0,0,0.00392157,0.188235,0.227451,173,0.524876
251662,166401,26,0,255,0,1,0.454902,0.184314,0.266667,26,0.524876
254002,164961,288,0,255,0,1,0,0.0470588,0.243137,288,0.524876
254632,170061,176,0,255,0,1,0,0.156863,0.258824,176,0.589049
255862,172221,1065,0,255,0,1,0,0.203922,0.254902,1065,0.392699
256222,164901,302,0,255,0,1,0,0.0431373,0.254902,302,0.524876
256462,171621,1008,0,255,0,1,0,0.0745098,0.243137,1008,0.524876
256672,171651,1016,255,0,0,0,0,0.0745098,0.243137,1016,0.589049
257032,163641,276,0,255,0,1,0.564706,0.0823529,0.266667,276,0.132177
257182,174621,1661,255,0,0,0,0.00392157,0.0588235,0.243137,1661,0.524876
257332,175251,1661,255,0,0,0,0,0.0705882,0.227451,1661,0.589049
257842,164001,394,0,255,0,1,0,0.0588235,0.290196,394,0.589049
257842,174771,1664,255,0,0,0,0,0.0588235,0.219608,1664,0.524876
258772,169941,1480,0,255,0,1,0,0.0784314,0.27451,1480,0.392699
261322,163071,1045,255,0,0,0,0.00392157,0.0117647,0.25098,1045,0.19635
261382,158931,31,0,255,0,1,0.00392157,0.0588235,0.243137,31,0.589049
262342,158631,34,255,0,0,0,0,0.0588235,0.258824,34,0.589049
262732,162591,438,255,0,0,0,0.00392157,0.0745098,0.254902,438,0.589049
263212,158121,54,255,0,0,0,0,0.0901961,0.2,54,0.589049
264652,157341,1205,0,255,0,1,0.00392157,0.0588235,0.243137,1205,0.59288
266212,152751,113,0,255,0,1,0,0.698039,0.258824,113,0.524876
266212,170451,175,0,255,0,1,0.00392157,0.184314,0.27451,175,0.59288
266242,164061,1006,0,255,0,1,0.00392157,0.0627451,0.286275,1006,0.589049
266392,163911,1004,255,0,0,0,0.00392157,0.0627451,0.286275,1004,0.524876
266662,166041,174,0,255,0,1,0,0.0705882,0.227451,174,0.589049
266692,167211,174,0,255,0,1,0.00392157,0.00784314,0.258824,174,0.589049
266872,159711,1554,0,255,0,1,0,0.0588235,0.282353,1554,0.589049
266932,160101,1573,255,0,0,0,0,0.0588235,0.282353,1573,0.460703
267292,167781,168,0,255,0,1,0.00392157,0.00784314,0.270588,168,0.392699
267412,171861,172,255,0,0,0,0.00392157,0.0156863,0.223529,172,0.524876
267502,153141,268,0,255,0,1,0.105882,0.054902,0.262745,268,0.39653
267982,167541,172,0,255,0,1,0.00392157,0.00784314,0.227451,172,0.589049
268162,154641,431,255,0,0,0,0,0.329412,0.266667,431,0.524876
266962,159831,1568,255,0,0,0,0,0.0588235,0.282353,1568,0.524876
247702,167451,592,0,255,0,1,0,0.109804,0.254902,592,0.524876
240142,178731,790,0,255,0,1,0.00392157,0.00784314,0.270588,790,0.524876
240262,173151,408,255,0,0,0,0,0.0784314,0.247059,408,0.589049
240352,173661,435,255,0,0,0,0,0.0627451,0.254902,435,0.524876
240772,170181,303,0,255,0,1,0.282353,0.454902,0.254902,303,0.19635
241072,170211,305,0,255,0,1,0.45098,0.462745,0.254902,305,0.589049
241672,171261,339,255,0,0,0,0.054902,0.0784314,0.282353,339,0.589049
241762,172641,301,255,0,0,0,0.188235,0.0784314,0.305882,301,0.59288
242332,175071,156,255,0,0,0,0,0.0745098,0.270588,156,0.392699
242362,173931,443,255,0,0,0,0,0.0627451,0.266667,443,0.524876
242482,179841,733,0,255,0,1,0.00392157,0.00784314,0.270588,733,0.524876
242572,171891,441,0,255,0,1,0.517647,0.0666667,0.298039,441,0.589049
242782,169731,388,255,0,0,0,0.00392157,0.0901961,0.282353,388,0.589049
243652,175761,301,0,255,0,1,0,0.101961,0.294118,301,0.39653
244252,176151,294,0,255,0,1,0,0.105882,0.27451,294,0.392699
244522,175791,298,255,0,0,0,0,0.0784314,0.27451,298,0.328526
244612,179391,731,0,255,0,1,0.00392157,0.00784314,0.270588,731,0.59288
244642,176211,294,0,255,0,1,0,0.109804,0.266667,294,0.524876
244792,174291,723,0,255,0,1,0.00392157,0.0745098,0.254902,723,0.589049
244822,176061,299,255,0,0,0,0,0.105882,0.258824,299,0.524876
246532,175671,297,255,0,0,0,0,0.117647,0.25098,297,0.524876
247882,175671,1074,0,255,0,1,0,0.0627451,0.254902,1074,0.460703
249742,167571,178,0,255,0,1,0,0.109804,0.266667,178,0.589049
250432,167961,171,0,255,0,1,0,0.223529,0.25098,171,0.392699
